,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0000002178-18-000009,20141231.0,98571000.0,,,,,,157497000.0
0.0,0000002178-18-000009,20151231.0,102629000.0,3847024000.0,,4323836999.7,-87427000.0,95048000.0,151235000.88
0.0,0000002178-18-000009,20160331.0,,,,254300000.37,,-0.03,1554000.0
0.0,0000002178-18-000009,20160630.0,,,,302168000.84,,-0.03,3540000.0
0.0,0000002178-18-000009,20160930.0,,,,252901999.77,,-0.28,-983000.0
0.0,0000002178-18-000009,20161231.0,717087000.0,2229644000.0,,2825005000.9,549317000.0,601421999.66,294706001.98
0.0,0000002178-18-000009,20170331.0,,,,300642999.8,,0.0,-860000.0
0.0,0000002178-18-000009,20170430.0,-363000.0,1909000.0,,-189000.0,,6920000.0,
0.0,0000002178-18-000009,20170531.0,,,,,-500000.0,,
0.0,0000002178-18-000009,20170630.0,,,,315538999.93,,0.0,-282000.0
0.0,0000002178-18-000009,20170831.0,,400000.0,,,,,
0.0,0000002178-18-000009,20170930.0,,,,290987999.28,,0.0,-3033000.0
0.0,0000002178-18-000009,20171231.0,874819000.0,2633350000.0,,3258047000.77,736450000.0,314045000.0,285756001.98
0.0,0000002488-18-000042,20130930.0,,,,,,14000000.0,
0.0,0000002488-18-000042,20141231.0,833000000.0,,,,,,187000000.0
0.0,0000002488-18-000042,20151231.0,1140000000.0,4681000000.0,4764000000.0,7003000000.0,-85000000.0,248000000.0,-1104000000.0
0.0,0000002488-18-000042,20160331.0,,842000000.0,,932000000.0,,105000000.0,-108000000.0
0.0,0000002488-18-000042,20160630.0,,985000000.0,,1612000000.0,,114000000.0,101000000.0
0.0,0000002488-18-000042,20160831.0,,,,,8.0,,
0.0,0000002488-18-000042,20160930.0,,1548000000.0,,632000000.0,,112000000.0,293000000.01
0.0,0000002488-18-000042,20161231.0,23234000000.0,6401000000.0,331000000.0,9780000000.0,14394000000.0,3124000000.0,2205000000.01
0.0,0000002488-18-000042,20170331.0,,951000000.0,,1240000000.0,,119000000.0,-66000000.0
0.0,0000002488-18-000042,20170630.0,,1129000000.0,,1660000000.0,,122000000.0,-10000000.0
0.0,0000002488-18-000042,20170930.0,,1416000000.0,,2429000000.0,,130000000.0,92000000.0
0.0,0000002488-18-000042,20171231.0,19814000000.0,6814000000.0,4786000000.0,15532000000.0,15562000000.0,4799000000.0,1713000000.0100002
0.0,0000002969-18-000014,20160930.0,1330800000.0,,,,,,7213400000.0
0.0,0000002969-18-000014,20161231.0,191700000.0,150100000.0,,4711200002.75,-746200000.0,696200000.0,8099900000.86
0.0,0000002969-18-000014,20170930.0,47879500000.0,236200000.0,2277400000.0,,39493500000.0,45737100000.0,34684900001.0
0.0,0000002969-18-000014,20171231.0,45870500000.0,626100000.0,2521100000.0,5733700001.41,39884800000.0,47374300000.0,37020600001.95
0.0,0000003499-18-000006,20141231.0,624834000.0,,,,,210025000.0,348399000.0
0.0,0000003499-18-000006,20151031.0,,,,,,2141000.0,
0.0,0000003499-18-000006,20151231.0,1903526000.0,217244000.0,,540047000.0,702298000.0,447177000.0,501111000.0
0.0,0000003499-18-000006,20160331.0,,,,77577000.0,,,
0.0,0000003499-18-000006,20160630.0,,,,78772000.0,,,
0.0,0000003499-18-000006,20160930.0,,,,78156000.0,,,
0.0,0000003499-18-000006,20161231.0,3599537000.0,307390000.0,,652314000.0,3688835000.0,3625147000.0,1192575002.0
0.0,0000003499-18-000006,20170331.0,,,,78896000.0,,,
0.0,0000003499-18-000006,20170630.0,,,,77850000.0,,,
0.0,0000003499-18-000006,20170930.0,,,,78393000.0,,,
0.0,0000003499-18-000006,20171231.0,5868964000.0,361681000.0,,662170000.0,6306775000.0,7387358000.0,1166821002.0
0.0,0000003545-18-000021,20141130.0,,,,,190000000.0,,
0.0,0000003545-18-000021,20160930.0,6625000.0,,,,,,
0.0,0000003545-18-000021,20161231.0,557000.0,2893000.0,,47705000.0,-3617000.0,11002000.0,-2525999.94
0.0,0000003545-18-000021,20170930.0,553008000.0,30236000.0,2246000.0,,1453834000.0,349337000.0,499655001.0
0.0,0000003545-18-000021,20171231.0,551071000.0,33219000.0,2246000.0,41912000.0,1656991000.0,368219000.0,522025001.06
0.0,0000003570-18-000031,20141231.0,2780000000.0,,,,,,2502000000.0
0.0,0000003570-18-000031,20151231.0,-56000000.0,4127000000.0,,-2747000000.0,7705000000.0,7422000000.0,569000000.0
0.0,0000003570-18-000031,20160331.0,,,,-692000000.0,,,
0.0,0000003570-18-000031,20160630.0,,,,-532000000.0,,,
0.0,0000003570-18-000031,20160930.0,,,,248000000.0,,,
0.0,0000003570-18-000031,20161231.0,34148000000.0,9246000000.0,77000000.0,828000000.0,113072000000.0,27005000000.0,-4953999999.9969
0.0,0000003570-18-000031,20170331.0,,,,1813000000.0,,,
0.0,0000003570-18-000031,20170630.0,,,,1251000000.0,,,
0.0,0000003570-18-000031,20170930.0,,,,1501000000.0,,,
0.0,0000003570-18-000031,20171231.0,45128000000.0,15725000000.0,77000000.0,9035000000.0,144904000000.0,62634000000.0,-2859999999.9969006
0.0,0000004127-18-000011,20160930.0,1083800000.0,,,,,,
0.0,0000004127-18-000011,20161231.0,1937000000.0,825900000.0,,2283800000.0,112500000.0,439000000.0,123100000.28
0.0,0000004127-18-000011,20170930.0,10926600000.0,,883000000.0,,6009500000.0,4118000000.0,11981400000.25
0.0,0000004127-18-000011,20171231.0,11276600000.0,1186500000.0,883000000.0,2716700000.0,6530200000.0,4721800000.0,12331100000.57
0.0,0000004281-18-000042,20120331.0,608000000.0,,,,,,
0.0,0000004281-18-000042,20140930.0,,,,1213000000.0,,,1250000001.0
0.0,0000004281-18-000042,20141231.0,3035000000.0,,,794000000.0,0.0,,14794000000.0
0.0,0000004281-18-000042,20150331.0,0.09,,,,,,
0.0,0000004281-18-000042,20150630.0,0.09,,,,,,
0.0,0000004281-18-000042,20150930.0,0.09,,,,,,
0.0,0000004281-18-000042,20151231.0,6920000010.429999,2085000000.0,10629000000.0,13690999998.14,3241000000.0,14685000000.0,13004000000.119999
0.0,0000004281-18-000042,20160331.0,0.09,,,3071000000.0,,,
0.0,0000004281-18-000042,20160430.0,,0.0,,,,,
0.0,0000004281-18-000042,20160630.0,0.09,,,3369000000.54,,,
0.0,0000004281-18-000042,20160831.0,,,,,,,76000000.0
0.0,0000004281-18-000042,20160930.0,200000000.09,,,3304000000.67,,,1.0
0.0,0000004281-18-000042,20161031.0,0.0,,,,,,
0.0,0000004281-18-000042,20161231.0,62765000027.13,10966000000.0,15118000000.0,19840999989.56,68316000000.0,51833000000.0,6222000000.360001
0.0,0000004281-18-000042,20170331.0,0.06,,,3514000000.0,,,
0.0,0000004281-18-000042,20170430.0,,,,,805000000.0,,
0.0,0000004281-18-000042,20170531.0,,,,,,167000000.0,35.91
0.0,0000004281-18-000042,20170630.0,0.06,51000000.0,,3473000000.0,1341000000.0,167000000.0,35.91
0.0,0000004281-18-000042,20170930.0,0.06,,,3355000000.0,,,
0.0,0000004281-18-000042,20171231.0,164969000095.88,10925000025.9,15665000000.0,23976999999.440002,69121000000.0,51748000000.0,6629000021.779999
0.0,0000004457-18-000005,20160331.0,600646000.0,,,,,,
0.0,0000004457-18-000005,20161231.0,11025071000.0,4726828000.0,,7584114023.18,2465162000.0,7652669000.0,1739654000.0
0.0,0000004457-18-000005,20170331.0,16296607000.0,2237338000.0,,28696000.0,21851041000.0,24732860000.0,5461401000.0
0.0,0000004457-18-000005,20170930.0,349200001.0,,,,368800000.0,,
0.0,0000004457-18-000005,20171231.0,19923138000.5,7352420000.0,,8587669066.809999,29383670000.0,34985793000.0,9175839000.0
0.0,0000004904-18-000009,20141231.0,1156600000.0,,,,,,29562600000.0
0.0,0000004904-18-000009,20151231.0,79913100000.0,41719800000.0,52500000.0,87548000008.34,9914300000.0,27709900000.0,46975300002.15
0.0,0000004904-18-000009,20160331.0,,,,9688800002.04,,,1039300000.0
0.0,0000004904-18-000009,20160630.0,,,,9576200002.04,,,1058200000.0
0.0,0000004904-18-000009,20160930.0,,,,7849499996.88,,,-1474500000.0
0.0,0000004904-18-000009,20161231.0,254397900000.0,55783800000.0,52500000.0,86830000004.0,486618900000.0,386819700000.0,81128000041.77
0.0,0000004904-18-000009,20170331.0,,,,10041000002.4,,,608500000.0
0.0,0000004904-18-000009,20170630.0,,,,8897400001.52,,,399500000.0
0.0,0000004904-18-000009,20170930.0,,,,10605000002.21,,,617800000.0
0.0,0000004904-18-000009,20171231.0,279359400000.0,53311300000.0,52500000.0,100570700009.38998,593434100000.0,423283600000.0,100545000041.89
0.0,0000004962-18-000032,20141231.0,33687000000.0,,,,,,20673000000.0
0.0,0000004962-18-000032,20151231.0,193635000000.0,52374000000.0,2749000000.0,111278000010.12,64093000000.0,56129000000.0,41778000001.130005
0.0,0000004962-18-000032,20160331.0,,,,9514000000.0,,2184000000.0,32000000.29
