adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000002178-18-000009,0.0,20161231.0,106756000.0,78750000.0,6504000.0,111428000.0,221087000.0,2163510000.0,0.0,475137000.0,4700000.0,191017000.0,478387000.0,2807518000.0,560886001.64,944,0.0020077322709999997,660643000.0,5.928877840399181,302445000.0,0.5392272210675028,644008000.0,0.22938695317358607,26.298456292854734,13.879141647533515,0.03802504560968086,1139030000.0,0.0,0.31607608002584797,0.5596902627674425
0000002488-18-000042,0.0,20161231.0,126000000.0,2010000000.0,90000000.0,3825000000.0,921000000.0,6611000000.0,948000000.0,20483000000.0,1559000000.0,4727000000.0,2604000000.0,9898000000.0,5840000000.01,1162,0.0037660238069999997,22619000000.0,5.913464052287582,8552000000.0,1.464383561641328,3287000000.0,0.3320872903616892,78.55555555555556,4.646393210749646,0.01272984441301273,26171000000.0,0.03622330059990064,0.2612765957446809,0.12215811394291391
0000002969-18-000014,0.0,20161231.0,-57400000.0,573500000.0,525400000.0,10400000.0,206100000.0,1587700000.0,0.0,110000000.0,-758800000.0,14400000.0,436400000.0,1882500000.0,8111600000.86,596,0.008124896902,626100000.0,60.20192307692308,24800000.0,0.0030573499676229943,294800000.0,0.15660026560424967,-32.79616724738676,-11.129349269588312,-0.03049136786188579,1062500000.0,0.0,0.3207782101167315,-0.21703529411764705
0000003499-18-000006,0.0,20161231.0,182581000.0,845694000.0,130820000.0,1110608000.0,1655981000.0,317640000.0,0.0,1490230000.0,0.0,1104726000.0,2852952000.0,435633000.0,2694873002.0,660,0.0232142548,2518505000.0,2.2676813060954,2215334000.0,0.8220550646935458,117993000.0,0.27085413639462574,2.3859711580065834,152.97754072808993,0.4191165499399724,5371457000.0,0.0,0.36726671254596155,-0.0023879926805706535
0000003545-18-000021,0.0,20161231.0,7177000.0,-6183000.0,-16890000.0,-4823000.0,3916000.0,3149000.0,0.0,-72000.0,21945000.0,-1121000.0,6650000.0,32573000.0,-2525999.94,400,0.034987853439999994,922000.0,-0.19116732324279495,-5944000.0,2.3531275301613825,29424000.0,0.9033248395910723,4.53852584645395,80.42258926104442,0.2203358609891628,7572000.0,0.0,0.37062275222411506,6.116481774960381
0000003570-18-000031,0.0,20161231.0,465000000.0,-668000000.0,-404000000.0,1530000000.0,347000000.0,5363000000.0,77000000.0,29857000000.0,12922000000.0,74586000000.0,26572000000.0,2242000000.0,24198000000.003098,850,0.005142544364,29654000000.0,19.381699346405227,76116000000.0,3.145549218943312,-3121000000.0,-1.3920606601248884,4.821505376344086,75.70249776984835,0.20740410347903657,56303000000.0,0.001367600305489991,0.012890523422118206,-0.048256753636573536
0000004127-18-000011,0.0,20161231.0,-49300000.0,1570300000.0,517400000.0,52100000.0,63800000.0,764300000.0,8500000.0,163800000.0,17900000.0,61600000.0,50900000.0,914300000.0,428600000.28,370,0.022579716040000003,1684800000.0,32.33781190019194,113700000.0,0.26528231433905963,150000000.0,0.1640599365634912,-18.545638945233264,-19.681176856611618,-0.05392103248386744,1744200000.0,0.004873294346978585,0.5562336530078466,-0.21064098153881436
0000004281-18-000042,0.0,20161231.0,-7968000000.0,2308000000.09,870000000.0,3283000000.0,18887000000.0,3082000000.0,20565000000.0,67335000027.04,2745000000.0,43721000000.0,23060000000.0,15361000000.0,51740000000.36,1448,0.004086465510000001,61675000027.130005,18.786171193155653,47004000000.0,0.9084654039364699,12279000000.0,0.7993620207017772,-1.9278363453815262,-189.33142373543387,-0.5187162294121477,105300000027.13,0.19529914524882752,0.4502586597372875,0.10834757831966314
0000004457-18-000005,0.0,20161231.0,23548000.0,607012000.0,931313000.0,143221000.0,1260789000.0,4840409000.0,0.0,9513678000.0,1543042000.0,2208108000.0,1487359000.0,6827000000.0,2598437000.0,904,0.0031639940259999997,10144238000.0,70.82926386493601,2351329000.0,0.9049012925847346,1986591000.0,0.29099033250329576,289.91846441311367,1.258974659440457,0.0034492456423026218,11631597000.0,0.0,0.458777693195563,0.09072511710988611
0000004904-18-000009,0.0,20161231.0,15873300000.0,-6832000000.0,8319400000.0,57818800000.0,39294800000.0,46487200000.0,54500000.0,240139000000.0,12101300000.0,304404700000.0,329272300000.0,65660800000.0,216014300041.77,8756,0.001059686436,249180300000.0,4.309676091513487,362223500000.0,1.6768496341675436,19173600000.0,0.29200984453433404,4.136556355641234,88.23764711974268,0.24174697841025392,578507100000.0,9.420800539872154e-05,0.1066150505566015,0.018762431783464716
