adsh,fraud,ddate,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0000002178-18-000009,0.0,20161231.0,106756000.0,78750000.0,6504000.0,111428000.0,221087000.0,2163510000.0,0.0,475137000.0,4700000.0,191017000.0,478387000.0,2807518000.0,560886001.64,944,0.0020077322709999997
0000002488-18-000042,0.0,20161231.0,126000000.0,2010000000.0,90000000.0,3825000000.0,921000000.0,6611000000.0,948000000.0,20483000000.0,1559000000.0,4727000000.0,2604000000.0,9898000000.0,5840000000.01,1162,0.0037660238069999997
0000002969-18-000014,0.0,20161231.0,-57400000.0,573500000.0,525400000.0,10400000.0,206100000.0,1587700000.0,0.0,110000000.0,-758800000.0,14400000.0,436400000.0,1882500000.0,8111600000.86,596,0.008124896902
0000003499-18-000006,0.0,20161231.0,182581000.0,845694000.0,130820000.0,1110608000.0,1655981000.0,317640000.0,0.0,1490230000.0,0.0,1104726000.0,2852952000.0,435633000.0,2694873002.0,660,0.0232142548
0000003545-18-000021,0.0,20161231.0,7177000.0,-6183000.0,-16890000.0,-4823000.0,3916000.0,3149000.0,0.0,-72000.0,21945000.0,-1121000.0,6650000.0,32573000.0,-2525999.94,400,0.034987853439999994
0000003570-18-000031,0.0,20161231.0,465000000.0,-668000000.0,-404000000.0,1530000000.0,347000000.0,5363000000.0,77000000.0,29857000000.0,12922000000.0,74586000000.0,26572000000.0,2242000000.0,24198000000.003098,850,0.005142544364
0000004127-18-000011,0.0,20161231.0,-49300000.0,1570300000.0,517400000.0,52100000.0,63800000.0,764300000.0,8500000.0,163800000.0,17900000.0,61600000.0,50900000.0,914300000.0,428600000.28,370,0.022579716040000003
0000004281-18-000042,0.0,20161231.0,-7968000000.0,2308000000.09,870000000.0,3283000000.0,18887000000.0,3082000000.0,20565000000.0,67335000027.04,2745000000.0,43721000000.0,23060000000.0,15361000000.0,51740000000.36,1448,0.004086465510000001
0000004457-18-000005,0.0,20161231.0,23548000.0,607012000.0,931313000.0,143221000.0,1260789000.0,4840409000.0,0.0,9513678000.0,1543042000.0,2208108000.0,1487359000.0,6827000000.0,2598437000.0,904,0.0031639940259999997
0000004904-18-000009,0.0,20161231.0,15873300000.0,-6832000000.0,8319400000.0,57818800000.0,39294800000.0,46487200000.0,54500000.0,240139000000.0,12101300000.0,304404700000.0,329272300000.0,65660800000.0,216014300041.77,8756,0.001059686436
0000004962-18-000032,0.0,20161231.0,242936000000.0,42806000000.0,12693000000.0,14301000000.0,6336000000.0,61341000047.68,7289000000.0,223596000069.22,6124000000.0,319526500000.0,7701000000.0,70960000000.0,401760000003.41,2126,0.003454007563
0000004969-18-000006,0.0,20161231.0,89606000000.0,4066000000.0,346000000.0,0.0,0.0,1112000000.0,0.0,33456000000.0,4862000000.0,97939200000.0,0.0,897000000.0,35632000000.1,794,0.004974300791
0000004977-18-000054,0.0,20161231.0,1512000000.0,118796000000.0,5987000000.0,18693000000.0,699000000.0,145240000218.49,0.0,462865000012.7,2911000000.0,315157000000.0,5188000000.0,50986000000.0,214934000000.1,1682,0.004837314195
0000005272-18-000022,0.0,20161231.0,96799000000.0,25320000000.32,11359000000.0,26442000000.0,4090000000.0,1440846000000.0,9949000000.0,2216386000000.0,201764000000.0,1438317000000.0,44440000000.0,260311000000.0,2006991000003.78,3206,0.001855929511
0000005513-18-000016,0.0,20161231.0,4824900000.0,-447000000.0,1116100000.0,3435400000.0,1091100000.0,214623000000.0,335100000.0,80082300000.0,948100000.0,109282600000.0,13548100000.0,22224500000.0,89054900000.1,1582,0.01013746036
0000006201-18-000009,0.0,20161231.0,1754000000.0,-4863000000.0,6524000000.0,11668000000.0,26653000000.0,67797000036.86,9082000000.0,117504000000.0,13793000000.0,67607000000.0,127765000000.0,90149000000.0,127945000000.51,1178,0.005113147215
0000007039-18-000003,0.0,20161231.0,48594000.0,-42354000.0,28514000.0,50711000.0,132653000.0,246044000.0,173752000.0,484304000.0,8011000.0,377517000.0,416599000.0,482180000.0,818015000.1,898,0.009836758704
0000007084-18-000012,0.0,20161231.0,40500000000.0,2507000001.2,1213000000.0,39494000000.0,15426000000.0,2987000033.03,10029000000.0,203473000000.0,1092000000.0,46175000000.0,65906000000.0,187070000000.0,106598000000.0,1420,0.005921654968
0000007332-18-000016,0.0,20161231.0,393000000.0,3165000000.0,506000000.0,693000000.0,39674000000.0,8755000000.0,0.0,12989000000.0,5846000000.0,22106000000.0,107156000000.0,5151000000.0,4720000000.01,1344,0.00181467775
0000007789-18-000013,0.0,20161231.0,81889233574.0,-217923000.0,641383000.0,219358000.0,90404000.0,2897002919.67,1020905000.0,67888259020.76,5598412000.0,47363357000.0,371673000.0,1076391000.0,41788150001.01,1830,0.004955392704
0000008063-18-000006,0.0,20161231.0,344673000.0,2533000.0,48854000.0,233992000.0,109446000.0,676605093.33,587140000.0,1271994028.9,25398000.0,603158000.0,598266000.0,815520000.0,1563568000.0,968,0.01303063342
0000008670-18-000003,0.0,20161231.0,119700000.0,18090000000.0,841100000.0,24900000.0,323100000.0,18840600000.0,234800000.0,984100000.0,234000000.0,1000000.0,2049100000.0,43488800000.0,422800001.67000014,898,0.005765911534
0000008868-18-000013,0.0,20161231.0,4472000000.0,990800000.0,60400000.0,1290800000.0,910000000.0,1265600020.0900002,480200000.0,17102000001.37,897100000.0,8757200000.0,6866300000.0,15532000000.0,12739800000.25,1370,0.003719715337
