adsh,1,2,3,4,5,6,7,8,9,sum_of_first_digits,total_deviation,fraud
0000065984-18-000072,2474,1454,1038,900,680,592,476,444,398,8456,0.0003394787562,0
0001628280-18-001324,2684,1580,1162,802,660,606,528,498,448,8968,0.0004199984639,0
0001481792-18-000004,360,208,150,132,98,76,70,64,60,1218,0.0004851796425,0
0001193125-18-066922,732,404,292,244,166,148,140,122,118,2366,0.0005544194651,0
0001493152-18-003026,222,122,96,74,56,46,40,36,28,720,0.0005892861661,0
0001227654-18-000031,330,210,134,112,86,70,70,50,50,1112,0.0006002826182,0
0001280058-18-000007,344,188,140,116,96,68,62,64,48,1126,0.0006571607031,0
0001551152-18-000014,318,190,142,112,96,76,72,52,54,1112,0.0006735646458,0
0001193125-18-066821,392,242,174,144,100,88,80,80,60,1360,0.0006745098591,0
0001108134-18-000007,570,318,264,204,150,130,106,98,96,1936,0.0007018035937,0
0001411579-18-000014,482,284,210,160,120,90,100,90,74,1610,0.0007025039005,0
0001140361-18-012451,518,318,216,178,150,126,124,90,78,1798,0.000710660183,0
0000811830-18-000006,594,358,222,192,176,142,112,102,82,1980,0.0007451437729,0
0001144204-18-017601,412,260,166,138,104,98,74,84,62,1398,0.0007474138293,0
0000072741-18-000028,1128,658,524,356,324,258,260,214,188,3910,0.0007861791367,0
0001326160-18-000034,2930,1652,1200,932,706,618,550,396,358,9342,0.0008186191541,0
0001326160-18-000036,2930,1652,1200,932,706,618,550,396,358,9342,0.0008186191541,0
0001047469-18-002250,456,280,192,140,118,114,96,90,84,1570,0.0008466219704,0
0000936340-18-000082,712,438,308,236,166,140,132,104,104,2340,0.0008480548272,0
0001163302-18-000011,398,228,192,140,114,90,84,74,56,1376,0.0008790701645,0
0000315858-18-000018,530,296,196,156,122,104,106,100,74,1684,0.0009012067466,0
0000092122-18-000012,2400,1410,940,764,616,424,486,354,330,7724,0.0009061353116,0
0001193125-18-085958,570,368,266,210,154,114,120,108,96,2006,0.0009367854233,0
0001104659-18-011084,322,178,140,120,86,68,56,60,52,1082,0.0009390758748,0
0001193125-18-054181,478,256,186,128,132,98,88,88,68,1522,0.0009564196583,0
0001564590-18-003495,404,226,144,140,92,90,78,64,56,1294,0.0009717227709,0
0001706397-18-000004,424,248,178,142,120,76,94,70,66,1418,0.0009918608053,0
0001178913-18-000655,382,226,154,114,98,66,72,72,56,1240,0.0009924488684,0
0001564590-18-004221,400,220,158,130,100,96,64,74,70,1312,0.001000904309,0
0001685715-18-000010,178,98,64,50,48,40,30,28,30,566,0.001036017344,0
0001193125-18-061184,548,278,236,170,150,136,106,100,86,1810,0.001057082207,0
0000004904-18-000009,2866,1410,1028,792,676,616,490,468,410,8756,0.001059686436,0
0001452857-18-000009,574,314,204,154,132,114,102,94,70,1758,0.00106402411,0
0001341318-18-000014,470,270,216,164,136,110,114,84,66,1630,0.001071667203,0
0000093751-18-000308,564,320,200,164,132,104,94,86,70,1734,0.001073950721,0
0001220754-18-000026,416,254,204,148,102,100,86,64,66,1440,0.001078807617,0
0001166691-18-000004,574,376,222,182,160,130,106,112,76,1938,0.001079141019,0
0000084748-18-000007,384,222,162,150,104,84,66,66,54,1292,0.001088890525,0
0001081316-18-000014,1380,752,526,464,350,342,302,202,192,4510,0.001096426201,0
0001558370-18-000631,164,98,68,56,36,40,28,32,24,546,0.001137362456,0
0001297587-18-000030,732,428,336,250,224,178,120,144,110,2522,0.001149787575,0
0001567892-18-000010,568,296,230,164,140,146,98,84,84,1810,0.001153257712,0
0001023128-18-000020,280,158,96,88,76,68,50,52,42,910,0.001156067839,0
0001065696-18-000004,696,396,324,224,224,144,136,116,114,2374,0.0011679866,0
0000040545-18-000014,872,546,334,266,230,230,180,160,158,2976,0.001168111222,0
0001517302-18-000018,292,172,112,84,70,76,50,44,40,940,0.00118494644,0
0001047862-18-000037,662,398,276,206,152,178,140,100,104,2216,0.001187005835,0
0001628280-18-002076,272,150,104,86,58,64,50,36,38,858,0.001195207179,0
0000863110-18-000005,272,160,112,78,76,60,62,56,46,922,0.001201710912,0
0000910406-18-000010,200,120,82,72,54,44,32,40,36,680,0.001209756758,0
