comp_name,related_qtr,adsh,filing_type,fraud
Logitech International,2q13,0001047469-13-006614,10k,1
Logitech International,2q11,0001193125-11-153485,10k,1
Logitech International,2q12,0001047469-12-006385,10k,1
Ener1 Inc,1Q11,0001144204-11-014018,10k,1
Ener1 Inc,2Q11,0001144204-11-027657,10q,1
Barrett Business Services Inc.,1q12,0001193125-12-117573,10k,1
Barrett Business Services Inc.,1q13,0001193125-13-109536,10k,1
Barrett Business Services Inc.,1q14,0001193125-14-100025,10k,1
Barrett Business Services Inc.,1q15,0001193125-15-093444,10k,1
Barrett Business Services Inc.,2q15,0001193125-15-182058,10q,1
Barrett Business Services Inc.,3q15,0001193125-15-282815,10q,1
COMPUTER SCIENCES CORP,2q10,0000023082-10-000036,10k,1
COMPUTER SCIENCES CORP,3q10,0000023082-10-000054,10q,1
COMPUTER SCIENCES CORP,4q10,0000023082-10-000072,10q,1
COMPUTER SCIENCES CORP,1q11,0000023082-11-000014,10q,1
COMPUTER SCIENCES CORP,2q11,0000023082-11-000059,10k,1
COMPUTER SCIENCES CORP,3q11,0000023082-11-000071,10q,1
COMPUTER SCIENCES CORP,4q11,0000023082-11-000096,10q,1
COMPUTER SCIENCES CORP,1q12,0000023082-12-000007,10q,1
COMPUTER SCIENCES CORP,2q12,0000023082-12-000039,10k,1
COMPUTER SCIENCES CORP,3q12,0000023082-12-000050,10q,1
Osiris Therapeutics,1Q15,0001047469-15-002532,10k,1
Osiris Therapeutics,2q15,0001104659-15-036502,10q,1
Osiris Therapeutics,3q15,0001104659-15-057928,10q,1
Osiris Therapeutics,4q15,0001558370-15-002707,10q,1
Osiris Therapeutics,2q14,0001104659-14-037626,10q,1
Osiris Therapeutics,3q14,0001104659-14-059084,10q,1
Osiris Therapeutics,4q14,0001104659-14-078750,10q,1
SABA SOFTWARE INC,1q09,0001193125-09-003969,10q,1
SABA SOFTWARE INC,2q09,0001193125-09-075610,10q,1
SABA SOFTWARE INC,3q09,0001193125-09-172762,10k,1
SABA SOFTWARE INC,4q09,0001193125-09-204983,10q,1
SABA SOFTWARE INC,1q10,0001193125-10-003530,10q,1
SABA SOFTWARE INC,2q10,0001193125-10-080442,10q,1
SABA SOFTWARE INC,3q10,0001193125-10-187181,10k,1
SABA SOFTWARE INC,4q10,0001193125-10-225794,10q,1
