adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation
0000002178-18-000009,0.0,193919000.0,391083000.0,54846000.0,205754000.0,360806000.0,8634819000.0,0.0,1024242000.0,7475000.0,462010000.0,829178000.0,12121921000.0,1457668004.16,944,0.0020077322709999997
0000002488-18-000042,0.0,367000000.0,4719000000.0,-68000000.0,7206000000.0,2143000000.0,25053000000.0,11232000000.0,39144000000.0,2399000000.0,12802000008.0,6962000000.0,37143000000.0,9619000000.03,1162,0.0037660238069999997
0000002969-18-000014,0.0,2337100000.0,13330800000.0,1091700000.0,4203800000.0,22949700000.0,4373600000.0,5649300000.0,80112600000.0,-557700000.0,38118900000.0,57544500000.0,6356900000.0,130837700003.81,596,0.008124896902
0000003499-18-000006,0.0,1797337000.0,2928676000.0,360447000.0,2394690000.0,8263830000.0,895764000.0,0.0,3823019000.0,826465000.0,4275348000.0,5993879000.0,1565924000.0,6432446004.0,660,0.0232142548
0000003545-18-000021,0.0,30927000.0,4077000.0,-26579000.0,27434000.0,7406000.0,374772000.0,4492000.0,1066886000.0,39676000.0,2027521000.0,772063000.0,68793000.0,1895754002.12,400,0.034987853439999994
0000003570-18-000031,0.0,1028000000.0,-1549000000.0,344000000.0,4259000000.0,1222000000.0,19995000000.0,154000000.0,67926000000.0,26965000000.0,182067000000.0,67308000000.0,15123000000.0,85325000000.0062,850,0.005142544364
0000004127-18-000011,0.0,869300000.0,5982900000.0,878200000.0,482800000.0,2548400000.0,1636300000.0,2834100000.0,17597500000.0,32300000.0,3024100000.0,6020500000.0,1966200000.0,34288800001.1,370,0.022579716040000003
0000004281-18-000042,0.0,80857000000.0,9329000001.23,3162000000.0,5279000000.0,50356000000.0,11445000047.38,52649000000.0,143453000132.93,5976000000.0,93499000000.0,48819000000.0,63915000000.0,122267000074.60002,1448,0.004086465510000001
0000004457-18-000005,0.0,437342000.0,2684982001.5,1770334000.0,911434000.0,7587679000.0,12396364000.0,0.0,43297342000.0,2795284000.0,30156837000.0,42526652000.0,14465400000.0,45958218000.0,904,0.0031639940259999997
0000004904-18-000009,0.0,41418800000.0,-20370000000.0,25101200000.0,111306400000.0,87190300000.0,135954500000.0,162500000.0,587410600000.0,33536000000.0,719837600000.0,694297500000.0,234110200000.0,544288200085.81,8756,0.001059686436
0000004962-18-000032,0.0,528484000000.0,122984200000.0,48108000000.0,38639000000.0,14164000000.0,196063000486.74,18733000000.0,655392400361.96,80317000000.0,965744800000.0,15925000000.0,257783000000.0,892579000009.99,2126,0.003454007563
0000004969-18-000006,0.0,252801000000.0,-1197000000.0,1313000000.0,0.0,0.0,4647000000.0,0.0,72728000000.0,27874000000.0,283096200000.0,0.0,4365000000.0,81671000000.2,794,0.004974300791
0000004977-18-000054,0.0,3158000000.0,243691000000.0,18891000000.0,34039000000.0,1557000000.0,359713000878.87,0.0,1034703000037.44,13844000000.0,651315000000.0,14510000000.0,174241000000.0,473941000087.98,1682,0.004837314195
0000005272-18-000022,0.0,215874000000.0,95264000003.37,5673000000.0,54028000000.0,12593000000.0,3816188000125.8,41708000000.0,4893002000000.0,575635000000.0,2965639000000.0,120620000000.0,863897000000.0,4216945000008.37,3206,0.001855929511
0000005513-18-000016,0.0,13979500000.0,-868900000.0,3557600000.0,6571900000.0,2361700000.0,653670400047.0701,673700000.0,161818500000.0,3442100000.0,271253700000.0,32313000000.0,80476600000.0,194268900082.09006,1582,0.01013746036
0000006201-18-000009,0.0,3344000000.0,-13115000000.0,17517000000.0,21433000000.0,57936000000.0,254115000164.85,18637000000.0,207598000000.0,36344000000.0,142660000000.0,274091000000.0,365275000000.0,346439000002.42004,1178,0.005113147215
0000006281-18-000018,0.0,1398714000.0,13946900000.87,937263000.0,7419502000.0,4539503000.0,5192293000.0,50926704000.0,83376111000.0,2223974000.0,38140386000.0,15830070000.0,2503073000.0,83814595002.3334,508,0.02120300023
0000006845-18-000002,0.0,471747000.0,53786000.0,139054000.0,139820000.0,64044000.0,1949499767.34,1708609000.0,3049452250.59,315927000.0,1483291000.0,1010820000.0,5342816000.0,4124009000.66,718,0.005021340559
0000006951-18-000008,0.0,5039000000.0,35277000000.0,2267000000.0,10177000000.0,4766000000.0,25288000085.21,15922000000.0,102054000000.0,2272000000.0,54786000000.0,9552000000.0,14487000000.0,165550000000.1,568,0.01037012088
0000006955-18-000003,0.0,415795000.0,640576000.0,-7995000.0,374512000.0,378814000.0,563928000.0,2853235000.0,4877482000.0,-8055000.0,6109514000.0,1311313000.0,554748000.0,8106420000.0,486,0.029135242999999998
0000007039-18-000003,0.0,145720000.0,-90022000.0,98907000.0,108388000.0,318366000.0,708631000.0,384405000.0,43904000.0,49082000.0,1021826000.0,986586000.0,1862238000.0,2002156000.2,898,0.009836758704
0000007084-18-000012,0.0,119347000000.0,14084000003.599997,5948000000.0,77242000000.0,33488000000.0,9186000155.68,22112000000.0,414992000000.13,3546000000.0,105478999999.99,137563000000.0,658219000000.0,251707000000.0,1420,0.005921654968
0000007332-18-000016,0.0,683000000.0,9113000000.0,3230000000.0,2066000000.0,83617000000.0,36100000044.89,0.0,28857000000.0,23111000000.0,47501000000.0,351949000000.0,16910000000.0,13130000000.02,1344,0.00181467775
0000007789-18-000013,0.0,166789774685.0,-681503000.0,1400957000.0,364791000.0,599896000.0,10216187794.32,2101379000.0,166129563112.37,12255684000.0,103847342000.0,1837930000.0,3191239000.0,97472318002.02,1830,0.004955392704
0000008063-18-000006,0.0,756025000.0,20290000.0,165138000.0,585941000.0,272085000.0,2133999271.87,1619192000.0,3473152089.6,235634000.0,1534704000.0,1445395000.0,3281186000.0,4193471000.0,968,0.01303063342
0000008670-18-000003,0.0,4365600000.0,104561800000.0,1516200000.0,13341000000.0,706300000.0,127301400000.0,17500300000.0,307939800000.0,234000000.0,154005900000.0,5844000000.0,93517700000.0,145655600005.69998,898,0.005765911534
0000008868-18-000013,0.0,13195300000.0,4609800000.24,435100000.0,2844400000.0,2107600000.0,6001100102.65,1011800000.0,42942100002.91,1355100000.0,19168800000.0,17720800000.0,54144200000.0,20963601015.5,1370,0.003719715337
0000009092-18-000002,0.0,136964000.0,100464002.23,190730000.0,85939000.0,271336000.0,882430000.0,574366000.0,1691585000.0,-25668000.0,336734000.0,1350694000.0,1970100000.0,2539705002.0,936,0.006629107309
0000009346-18-000017,0.0,705565000.0,268318003.12,164276000.0,365628000.0,49781000.0,12886456022.12,0.0,3736778000.0,384702000.0,1883280000.0,6028170000.0,970506000.0,5822482000.0,1230,0.0029690514520000003
0000009984-18-000024,0.0,704313000.0,350048000.0,639041000.0,1148243000.0,1283799000.0,7424834234.030002,6953808000.0,15628645026.18,628024000.0,3448619000.0,3441147000.0,3936512000.0,13829026001.56,936,0.002730466274
0000010048-18-000002,0.0,6676000.0,55854000.0,-2753000.0,5710000.0,148562000.0,8102000.0,0.0,128639000.0,248000.0,57700000.0,184219000.0,16608000.0,227760001.0,438,0.015037464269999998
0000010795-18-000008,0.0,4019000000.0,17194000000.0,570000000.0,8636000000.0,10153000000.0,9638000000.0,79585000000.0,177460000000.0,9103000000.0,63596000000.0,31171000000.0,6002000000.0,200682000001.48,382,0.02061682423
0000011199-18-000012,0.0,932000000.0,35200003.47999999,1375200000.0,1876400000.0,3730600000.0,10979100000.0,5127600000.0,24970200000.0,215300000.0,13531100000.0,15457900000.0,32294600000.0,23309600000.2,1074,0.006138916894
0000011544-18-000012,0.0,5525321630.0,3839160000.0,3884504000.0,1449104000.0,491845000.0,267911228000.0,389871000.0,158783458000.0,1252690000.0,49561377000.0,135784056000.0,59787177000.0,152682673000.59998,1804,0.006887083676
0000012400-18-000006,0.0,141713000.0,-262421000.0,261654000.0,609821000.0,1600436000.0,859789000.0,0.0,3269437000.0,1091000.0,3539304000.0,12136645000.0,1389994000.0,5537904002.0,652,0.01063520375
0000012927-18-000007,0.0,67361000000.0,41953000000.0,33363000000.0,93224000000.0,41015000000.0,292231000379.28,40604000000.0,871613000000.0,13574000000.0,194584000000.0,165615000000.0,1154763000000.0,464930000039.36,1632,0.0013638460709999999
0000013239-18-000007,0.0,1224000000.0,983000000.0,40000000.0,909000000.0,5595000000.0,8513000015.52,2004000000.0,15146000006.16,2879000000.0,25942000001.0,14008000000.0,34339000000.0,-15873999999.98,1124,0.003009175051
0000014195-18-000008,0.0,437441000.0,168627000.0,-191434000.0,1309349000.0,1551037000.0,1962519041.41,525451000.0,8823279000.0,267930000.0,3471870000.0,3532467000.0,6477073000.0,6111141000.860001,694,0.004499348553
0000014272-18-000055,0.0,36234000000.0,42784000000.0,10438000000.0,31603000000.0,11821000000.0,105721000061.28,36588000000.0,511810000000.0,8599000000.0,112342000000.0,63117000000.0,155514000000.0,338999000058.79004,1870,0.001624874878
0000014693-18-000016,0.0,1296000000.0,2065000001.1720002,1007000000.0,1669000000.0,90000000.0,3855000000.0,2899000000.0,22834000000.0,804000000.0,18478000000.0,2970000000.0,16870000000.0,25139000003.78,518,0.004745594025
0000014846-18-000013,0.0,4711000.0,263729000.18,16173000.0,1524282000.0,315325000.0,91931000.0,0.0,2038982200.0,192084000.0,3023170200.0,5926857000.0,115636000.0,3585994000.0218,400,0.03598985785
0000014930-18-000056,0.0,1359300000.0,3960600000.0,2295700000.0,2582700000.0,1855900000.0,11871000000.0,2337800000.0,23108600000.0,-2100000.0,8781500000.0,9864000000.0,22554000000.0,20471401035.825005,1650,0.006555959074000001
0000015511-18-000005,0.0,49488000000.0,-11057000000.0,22641000000.0,46066000000.0,21184000000.0,75492000000.0,38640000000.0,180638000000.0,1004000000.0,129528000000.0,312559000000.0,101963000000.0,466830000000.0,766,0.007412464494
0000015615-18-000007,0.0,7701281000.0,-298103000.0,735169000.0,8931481000.0,26001061000.0,1913333000.0,10016590000.0,20724600000.0,6179834000.0,8995667000.0,4971670000.0,39806911000.0,25473319002.2,1064,0.006599357090000001
0000016099-18-000020,0.0,17654000.0,-4288000.0,6999000.0,37641000.0,316952000.0,385474023.99,170568000.0,541838999.95,103600000.0,393613000.0,1031150000.0,517686000.0,1026499000.64,454,0.017572786769999998
0000016160-18-000006,0.0,234927000.0,144635000.0,35924000.0,149736000.0,49587000.0,1563954000.0,129881000.0,4128667000.0,255223000.0,896718000.0,1202748000.0,1732122000.0,6781978000.0,442,0.018798736469999997
0000016732-18-000026,0.0,1551000000.0,1198000000.0,1253000000.0,2495000000.0,315000000.0,21152000201.01,11415000000.0,24789000000.0,407000000.0,27948000000.0,6109000000.0,26464000000.0,43067000002.175,776,0.011868856899999999
