fraud,adsh,ddate,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity,
0,0000002178-18-000009,20141231,98571000,,,,,,157497000,
0,0000002178-18-000009,20151231,102629000,3847024000,,4323837000,-87427000,95048000,151235000.9,
0,0000002178-18-000009,20160331,,,,254300000.4,,-0.03,1554000,
0,0000002178-18-000009,20160630,,,,302168000.8,,-0.03,3540000,
0,0000002178-18-000009,20160930,,,,252901999.8,,-0.28,-983000,
0,0000002178-18-000009,20161231,717087000,2229644000,,2825005001,549317000,601421999.7,294706002,
0,0000002178-18-000009,20170331,,,,300642999.8,,0,-860000,
0,0000002178-18-000009,20170430,-363000,1909000,,-189000,,6920000,,
0,0000002178-18-000009,20170531,,,,,-500000,,,
0,0000002178-18-000009,20170630,,,,315538999.9,,0,-282000,
0,0000002178-18-000009,20170831,,400000,,,,,,
0,0000002178-18-000009,20170930,,,,290987999.3,,0,-3033000,
0,0000002178-18-000009,20171231,874819000,2633350000,,3258047001,736450000,314045000,285756002,
0,0000002488-18-000042,20130930,,,,,,14000000,,
0,0000002488-18-000042,20141231,833000000,,,,,,187000000,
0,0000002488-18-000042,20151231,1140000000,4681000000,4764000000,7003000000,-85000000,248000000,-1104000000,
0,0000002488-18-000042,20160331,,842000000,,932000000,,105000000,-108000000,
0,0000002488-18-000042,20160630,,985000000,,1612000000,,114000000,101000000,
0,0000002488-18-000042,20160831,,,,,8,,,
0,0000002488-18-000042,20160930,,1548000000,,632000000,,112000000,293000000,
0,0000002488-18-000042,20161231,23234000000,6401000000,331000000,9780000000,14394000000,3124000000,2205000000,
0,0000002488-18-000042,20170331,,951000000,,1240000000,,119000000,-66000000,
0,0000002488-18-000042,20170630,,1129000000,,1660000000,,122000000,-10000000,
0,0000002488-18-000042,20170930,,1416000000,,2429000000,,130000000,92000000,
0,0000002488-18-000042,20171231,19814000000,6814000000,4786000000,15532000000,15562000000,4799000000,1713000000,
0,0000002969-18-000014,20160930,1330800000,,,,,,7213400000,
0,0000002969-18-000014,20161231,191700000,150100000,,4711200003,-746200000,696200000,8099900001,
0,0000002969-18-000014,20170930,47879500000,236200000,2277400000,,39493500000,45737100000,34684900001,
0,0000002969-18-000014,20171231,45870500000,626100000,2521100000,5733700001,39884800000,47374300000,37020600002,
0,0000003499-18-000006,20141231,624834000,,,,,210025000,348399000,
0,0000003499-18-000006,20151031,,,,,,2141000,,
0,0000003499-18-000006,20151231,1903526000,217244000,,540047000,702298000,447177000,501111000,
0,0000003499-18-000006,20160331,,,,77577000,,,,
0,0000003499-18-000006,20160630,,,,78772000,,,,
0,0000003499-18-000006,20160930,,,,78156000,,,,
0,0000003499-18-000006,20161231,3599537000,307390000,,652314000,3688835000,3625147000,1192575002,
0,0000003499-18-000006,20170331,,,,78896000,,,,
0,0000003499-18-000006,20170630,,,,77850000,,,,
0,0000003499-18-000006,20170930,,,,78393000,,,,
0,0000003499-18-000006,20171231,5868964000,361681000,,662170000,6306775000,7387358000,1166821002,
0,0000003545-18-000021,20141130,,,,,190000000,,,
0,0000003545-18-000021,20160930,6625000,,,,,,,
0,0000003545-18-000021,20161231,557000,2893000,,47705000,-3617000,11002000,-2525999.94,
0,0000003545-18-000021,20170930,553008000,30236000,2246000,,1453834000,349337000,499655001,
0,0000003545-18-000021,20171231,551071000,33219000,2246000,41912000,1656991000,368219000,522025001.1,
0,0000003570-18-000031,20141231,2780000000,,,,,,2502000000,
0,0000003570-18-000031,20151231,-56000000,4127000000,,-2747000000,7705000000,7422000000,569000000,
0,0000003570-18-000031,20160331,,,,-692000000,,,,
0,0000003570-18-000031,20160630,,,,-532000000,,,,
0,0000003570-18-000031,20160930,,,,248000000,,,,
0,0000003570-18-000031,20161231,34148000000,9246000000,77000000,828000000,113072000000,27005000000,-4954000000,
0,0000003570-18-000031,20170331,,,,1813000000,,,,
0,0000003570-18-000031,20170630,,,,1251000000,,,,
0,0000003570-18-000031,20170930,,,,1501000000,,,,
