adsh,fraud,AccountsReceivable,Cash,CashFlowfromOps,CurrentLiabilities,Depreciation,Expenses,IntangibleAssets,OtherCurrentAssets,OtherIncome,OtherLiabilities,PPE,Sales,ShareholdersEquity,sum_of_first_digits,total_deviation,TotalCurrentAssets,CurrentRatio,TotalLiabilities,DebtToEquityRatio,NetIncome,ProfitMargin,ReceivableTurnover,CollectionRatio,DSRI,TotalAssets,AQI,DEPI,TATA
0000002178-18-000009,0.0,193919000.0,391083000.0,54846000.0,205754000.0,360806000.0,8634819000.0,0.0,1024242000.0,7475000.0,462010000.0,829178000.0,12121921000.0,1457668004.16,944,0.0020077322709999997,1609244000.0,7.8212039620128895,667764000.0,0.45810431325534073,3487102000.0,0.28766909139236263,62.510228497465434,5.83904440558555,0.015997381933111097,2438422000.0,0.0,0.30320239599860166,1.4075726022813115
0000002488-18-000042,0.0,367000000.0,4719000000.0,-68000000.0,7206000000.0,2143000000.0,25053000000.0,11232000000.0,39144000000.0,2399000000.0,12802000008.0,6962000000.0,37143000000.0,9619000000.03,1162,0.0037660238069999997,44230000000.0,6.137940605051346,20008000008.0,2.080049902062335,12090000000.0,0.3254987480817381,101.20708446866485,3.606466898204238,0.009880731227956815,62424000000.0,0.17993079584775085,0.23536518396485448,0.19476483403819045
0000002969-18-000014,0.0,2337100000.0,13330800000.0,1091700000.0,4203800000.0,22949700000.0,4373600000.0,5649300000.0,80112600000.0,-557700000.0,38118900000.0,57544500000.0,6356900000.0,130837700003.81,596,0.008124896902,95780500000.0,22.78426661591893,42322700000.0,0.3234748088568323,1983300000.0,0.3119916940647171,2.719994865431518,134.19142978495807,0.3676477528355016,158974300000.0,0.03553593253752341,0.28510998307952623,0.005608453693458628
0000003499-18-000006,0.0,1797337000.0,2928676000.0,360447000.0,2394690000.0,8263830000.0,895764000.0,0.0,3823019000.0,826465000.0,4275348000.0,5993879000.0,1565924000.0,6432446004.0,660,0.0232142548,8549032000.0,3.56999528122638,6670038000.0,1.036936492875689,670160000.0,0.4279645755477277,0.8712467389254214,418.9398751152674,1.147780479767856,14542911000.0,0.0,0.579604338957963,0.021296492841082502
0000003545-18-000021,0.0,30927000.0,4077000.0,-26579000.0,27434000.0,7406000.0,374772000.0,4492000.0,1066886000.0,39676000.0,2027521000.0,772063000.0,68793000.0,1895754002.12,400,0.034987853439999994,1101890000.0,40.16512356929358,2054955000.0,1.0839776667763683,-305979000.0,-4.447821726047708,2.2243670579105634,164.09162269416947,0.44956608957306704,1878445000.0,0.0023913396452917013,0.009501340014804951,-0.1487400482846184
0000003570-18-000031,0.0,1028000000.0,-1549000000.0,344000000.0,4259000000.0,1222000000.0,19995000000.0,154000000.0,67926000000.0,26965000000.0,182067000000.0,67308000000.0,15123000000.0,85325000000.0062,850,0.005142544364,67405000000.0,15.826485090396806,186326000000.0,2.183721066510243,-4872000000.0,-0.3221583019242214,14.711089494163424,24.811214706076836,0.06797593070158038,134867000000.0,0.001141865689901933,0.01783160659565154,-0.03867513921122291
0000004127-18-000011,0.0,869300000.0,5982900000.0,878200000.0,482800000.0,2548400000.0,1636300000.0,2834100000.0,17597500000.0,32300000.0,3024100000.0,6020500000.0,1966200000.0,34288800001.1,370,0.022579716040000003,24449700000.0,50.64146644573322,3506900000.0,0.10227537854598287,329900000.0,0.16778557623842946,2.261819855055792,161.37447868985862,0.4421218594242702,33304300000.0,0.08509711959116395,0.2974010666479945,-0.016463339568764394
0000004281-18-000042,0.0,80857000000.0,9329000001.23,3162000000.0,5279000000.0,50356000000.0,11445000047.38,52649000000.0,143453000132.93,5976000000.0,93499000000.0,48819000000.0,63915000000.0,122267000074.60002,1448,0.004086465510000001,233639000134.15997,44.258192864966844,98778000000.0,0.8078876552113944,52469999952.62,0.8209340522978957,0.7904695944692481,461.75084096065086,1.2650707971524682,335107000134.16,0.1571110122406335,0.507748928661457,0.14714106220663717
0000004457-18-000005,0.0,437342000.0,2684982001.5,1770334000.0,911434000.0,7587679000.0,12396364000.0,0.0,43297342000.0,2795284000.0,30156837000.0,42526652000.0,14465400000.0,45958218000.0,904,0.0031639940259999997,46419666001.5,50.93036467972448,31068271000.0,0.6760112195820995,2069036000.0,0.14303344532470585,33.07571648732571,11.035286269304686,0.03023366101179366,88946318001.5,0.0,0.15140736888216666,0.0033582278245060425
0000004904-18-000009,0.0,41418800000.0,-20370000000.0,25101200000.0,111306400000.0,87190300000.0,135954500000.0,162500000.0,587410600000.0,33536000000.0,719837600000.0,694297500000.0,234110200000.0,544288200085.81,8756,0.001059686436,608459400000.0,5.466526632790208,831144000000.0,1.5270292463973418,98155700000.0,0.41927135169676505,5.652269017933885,64.5758365077643,0.17692010002127204,1302919400000.0,0.00012471991744078537,0.11156962399157094,0.056069853591864546
