adsh,AccountsReceivable,Cash,CashFlowfromOps,OtherIncome,sum_of_first_digits,total_deviation,CurrentRatio,DebtToEquityRatio,ProfitMargin,ReceivableTurnover,AQI,DEPI,TATA,fraud
0000002178-18-000009,-0.04914928018798002,-0.047865580119047554,-0.1888823503468072,-0.06662985784178488,-0.002642279104472801,-0.43361505303941433,-0.013284621361056743,-0.0133323818453434,0.027360631257978708,-0.015920962627802075,-0.2253442359924914,0.27111808201891413,0.04393580482252236,0.0
0000002488-18-000042,-0.04906286182613321,0.039445263675571086,-0.15562201557613717,-0.04027375612712986,0.3511548692091611,-0.37011690305302186,-0.013284621395389405,-0.013332373135397271,0.027401782509295515,0.0267296007296298,-0.12478506146975774,0.1710770019604237,-0.00769793874838424,0.0
0000002969-18-000014,-0.04988644983084659,-0.02549818078318344,0.01781802657138766,-0.07957644708397694,-0.5674193782473379,-0.2127025198912749,-0.013284500473310805,-0.013332386893150446,0.0273314661806801,-0.06415209334396176,-0.2253442359924914,0.2797022170529947,-0.04772659835612606,0.0
0000003499-18-000006,-0.04880877549628213,-0.013192426574338173,-0.13936151369175048,-0.06670955524772897,-0.46355232553140874,0.33222776691729416,-0.013284629516003541,-0.013332379182641787,0.027377246845861382,-0.03543756375314318,-0.2253442359924914,0.3645708988358313,-0.02239578837938552,0.0
0000003545-18-000021,-0.049596456141749665,-0.05170535844707777,-0.19820126708084304,-0.06633743618954965,-0.8855122271898712,0.7574142146795644,-0.01328463499284139,-0.013332364768257849,0.027630673091289252,-0.033680717862053115,-0.2253442359924914,0.3706976322992156,0.6997000698905695,0.0
0000003570-18-000031,-0.047540526310332586,-0.08162577305296677,-0.3524051593999251,0.15240744041383716,-0.15519701278099385,-0.32040585855434756,-0.013284591396250803,-0.01333235730795096,0.026710929416107657,-0.03344975907293697,-0.22154765325376966,-0.2823727206526638,-0.027808821107335523,0.0
0000004127-18-000011,-0.04985007544241595,0.019566647226901147,0.014631255011488261,-0.0664060268293462,-0.934199908150463,0.30931231943335696,-0.01328456253781406,-0.013332384424416014,0.027334455214628666,-0.0525212705695776,-0.2118155279890077,0.7095459851370047,-0.04697199712991975,0.0
0000004281-18-000042,-0.08541030626533758,0.05291769420432414,0.1550882115140543,-0.02016287879741175,0.8153107610334698,-0.358544615464538,-0.013284592722729827,-0.01333237836912588,0.027589015973066924,-0.038958354666356804,0.3168239404566594,0.5160796975423694,-0.009327738197095802,0.0
0000004457-18-000005,-0.04952293946113264,-0.023983120072635734,0.1795120270955683,-0.04054435425565232,-0.06755918705192857,-0.39185833588570146,-0.01328447680197879,-0.013332378402680442,0.027385315267926195,0.19923720759702382,-0.2253442359924914,0.5316319115713831,-0.01140738799114738,0.0
0000004904-18-000009,0.021652990881734717,-0.3602971212212667,3.122530218803378,0.1384909167844108,12.675629843033638,-0.4678523540741186,-0.013284624967665675,-0.013332371135121247,0.02738572377871553,-0.0340087924294813,-0.22508270600766295,-0.11127069212997305,-0.01989979900780266,0.0
0000004962-18-000032,1.0413155646976144,1.8838119606051564,4.86473823060038,0.03713446900791497,1.9156523507428451,-0.38138491740334685,-0.013284555236979292,-0.013332379099250667,0.02732303359817242,-0.03714651942865445,-0.1867521210596221,0.5181240597982006,-0.02280584816906807,0.0
0000004969-18-000006,0.35276186370141893,0.13239599239621105,-0.05364532565935638,0.015734867667186257,-0.24608068390743193,-0.3264817313057481,-0.01328463456703542,-0.013332361044769257,0.027172676519233264,-0.03737674641769216,-0.2253442359924914,-0.3059054582793783,-0.022634747426600148,0.0
0000004977-18-000054,-0.0428387998057802,5.3192817443996265,2.193426970514708,-0.017348034247046482,1.1950746725260861,-0.3314288036432067,-0.013284565077966576,-0.013332372298593362,0.026527987478192655,-0.00986300327876312,-0.2253442359924914,-0.08914251450138824,-0.042219954149032554,0.0
0000005272-18-000022,0.38506321876087,1.0932786715101341,4.333344072987154,3.354581383667317,3.6684088653241504,-0.43909718966207983,-0.013284437577982852,-0.01333238005091602,0.025451539413591583,-0.03519008546910302,-0.21380200796728568,-0.15204928829570669,-0.08089509283698261,0.0
0000005513-18-000016,-0.027961674937650702,-0.07163447390546607,0.2531212716254596,-0.050632723210371676,1.0327824026574466,-0.14002170803686545,-0.013284579805844588,-0.013332375005788684,0.02379990486780272,-0.033625476677978126,-0.21588485127868548,-0.16983961672425463,-0.2543299899045151,0.0
0000006201-18-000009,-0.04175205881809952,-0.27127961886186003,2.407339011472955,0.16717689585581394,0.37712163238814345,-0.32146749397609387,-0.013284612729244093,-0.013332381088648051,0.027368067354888243,0.0045630387543517704,-0.12499295160061699,0.009195755797123707,-0.014679381043968476,0.0
0000007039-18-000003,-0.049410466259572926,-0.05334063121388432,-0.18011474509263398,-0.06657371356283151,-0.07729672324404693,-0.15088111244330546,-0.013284613020676857,-0.013332381993441203,0.027464947083813383,-0.029286389993466156,0.22090756735933015,0.13500188254674983,0.0005540375627283922,0.0
0000007084-18-000012,0.13224325650700705,0.0619143844370978,0.2917210421447411,-0.04819262603689239,0.7698689254702508,-0.29226940849707966,-0.013284620665951888,-0.013332379355783491,0.027663012128812937,-0.03361502737055914,-0.13899150594385276,0.040347725566250894,0.04482065226964256,0.0
0000007332-18-000016,-0.047863854207493776,0.09166223433332359,0.010090105538631617,0.03242045223079724,0.6465268003700848,-0.44058693721164705,-0.013284581382652847,-0.013332341446784173,0.026988365150034728,-0.026687510812437136,-0.2253442359924914,0.1873740683747002,-0.026034873422231535,0.0
0000007789-18-000013,0.31810844895971485,-0.06127801763934834,0.06401944230036417,0.028222128540822324,1.4352672319316724,-0.3271645694584091,-0.013283115913105277,-0.013332376201893896,0.02659098484111538,-0.03737418856008896,-0.20656924598825516,0.05126472375244649,-0.02403871569386155,0.0
0000008063-18-000006,-0.048080874586467516,-0.051311312458979956,-0.17201237840158976,-0.06627888403152307,0.036307865664000655,-0.035538956946337526,-0.01328461915366616,-0.013332381881280539,0.027336971210339782,-0.03545380749210443,0.35582616150594804,-0.02358312503383856,-0.018324424264462055,0.0
0000008670-18-000003,-0.04909115301713481,0.766413998027658,0.14357599925391773,-0.06274164184540684,-0.07729672324404693,-0.2978938568488164,-0.013282917608893465,-0.013332386345213925,0.027495818589537653,0.2591410613454098,-0.19499526291029348,-0.05725597738739989,0.10869645031383651,0.0
0000008868-18-000013,-0.029546430700264394,-0.006632257098785069,-0.16741307034776495,-0.05149752484933932,0.6887227905359311,-0.37178926631787035,-0.013284595629306133,-0.013332379496576783,0.02763676031905937,-0.03455022999635367,-0.18077650267342718,-0.09227150065652842,0.03393402760389943,0.0
0000009092-18-000002,-0.04932685007283485,-0.05105343745543877,-0.15957560404263738,-0.06725234545289277,-0.015625660693963955,-0.2667207927315526,-0.013284584993034346,-0.013332385486974954,0.02742856286646952,-0.03147307308345881,0.1547725063634069,0.011113634887065845,-0.014085261798176136,0.0
0000009346-18-000017,-0.048170625021921175,-0.04956816978196125,-0.17857951789365245,-0.06554130997485297,0.46151361271983593,-0.39889840435508944,-0.013284604790261499,-0.013332383036001696,0.02212125197276502,-0.03658305181708031,-0.2253442359924914,-0.28642915573917893,-0.13970339951528443,0.0
0000009984-18-000024,-0.04821784436690243,-0.05037683212694901,-0.10477468525927233,-0.061275769153566924,-0.015625660693963955,-0.40751456220320076,-0.01328461113851147,-0.01333238346548936,0.02689164119460697,-0.03409718173195497,0.5703595186729216,0.18555517022220044,-0.03802896897806012,0.0
0000010048-18-000002,-0.0496286856461653,-0.05070247614396008,-0.19185799829086328,-0.06670955524772897,-0.8238411646397882,0.03693483008019528,-0.01328463456703542,-0.01333238692193407,0.027500014275559266,-0.03738491665790342,-0.2253442359924914,-0.25881235919711193,0.008498629226246458,0.0
0000010795-18-000008,-0.0496286856461653,-0.03718483612087091,-0.07674941946862703,-0.034016661915775744,-0.9147248357662263,0.23842532714197082,-0.013284681872755048,-0.013332374330459227,0.0270779704679927,-0.03738491665790342,0.04554212503110728,0.13574098282499467,-0.16324004327413585,0.0
0000011199-18-000012,-0.04748798552704389,-0.051326367169505796,-0.015443901585062324,-0.06364205296362609,0.20833767172475842,-0.28442330898455803,-0.013284606853320452,-0.013332381702056514,0.027509169633983303,-0.021981311158492455,0.05682491868800491,0.0313436089029202,0.007718499927095351,0.0
0000011544-18-000012,-0.03870282077995086,-0.04648546976123872,0.3791063017816325,-0.04817687308154727,1.3930712417658262,-0.25740435020235947,-0.013284430912979862,-0.013332383671944724,0.02547825258425537,-0.031669688520852696,-0.22146936534001868,-0.29939324036882,-0.09921510957418003,0.0
0000012400-18-000006,-0.049310324424757725,-0.05543934654884033,-0.15606657020874315,-0.06670782564445102,-0.4765357071208999,-0.12204642704059981,-0.013284624314894135,-0.013332379380364003,0.027334926319784802,-0.03349512759415798,-0.2253442359924914,-0.10000634735326615,-0.022638467664082985,0.0
0000012927-18-000007,0.0602578927362576,0.25066404022364014,3.990766130297969,-0.018331534150186155,1.1139285375917662,-0.45686806976881317,-0.013284613632062334,-0.013332380553417175,0.027547369829986196,-0.02690634900586794,-0.13993908553578563,0.048946781444312554,0.022195683612509513,0.0
0000013239-18-000007,-0.04781894755511028,-0.022491749139252237,-0.19944012452475393,-0.05139747916953718,0.28948380665907814,-0.3974493987407578,-0.013284593226708677,-0.013332407553376127,0.027567088498067195,-0.016233410884869588,-0.07566437583863676,0.20694948559701062,0.03673694665951493,0.0
0000014195-18-000008,-0.04946667591636135,-0.05249833304910113,-0.24189310020639876,-0.06439760132887082,-0.40837295377607136,-0.34363394288580584,-0.013284644396657868,-0.013332384985311013,0.027552554251604987,0.034049755919074505,-0.2253442359924914,-0.1210916610865409,0.727502963128341,0.0
0000014272-18-000055,0.02448076278232367,0.3129175195272983,1.0266702331465403,-0.019637215056078478,1.5001841398791282,-0.44744139279386624,-0.013284603707826654,-0.013332382727696598,0.02738296939662665,-0.03513774742181899,0.015951551257121364,-0.032078556908217704,-0.016584415067791097,0.0
0000014846-18-000013,-0.049585126193353306,-0.043197518570739696,-0.18836290658254362,-0.06431839567287831,-0.8855122271898712,0.7936001514315268,-0.013286174987457957,-0.013332383150391727,0.027381184895686132,-0.033147322794957766,-0.2253442359924914,0.05585633660994442,-0.01907811997636807,0.0
0000014930-18-000056,-0.04683369560181631,-0.021822648562858524,0.14724078654780204,-0.06680112248009024,1.1431411461681213,-0.26936243520219566,-0.01328461118592132,-0.013332381249850775,0.02738266204895362,-0.029978167365480528,-0.056899272694726936,-0.003424256394642264,-0.01723241271438374,0.0
0000015511-18-000005,0.046651177064057296,-0.20599710316506817,2.8761927772231544,-0.06330121937650354,-0.29152251947065094,-0.23843098355735418,-0.013284624976898219,-0.013332382536041935,0.02728748966344039,-0.03644803669112522,-0.04337269856968571,-0.21359320479108834,-0.024767894270674343,0.0
0000015615-18-000007,-0.034293288390462195,-0.054394826297691656,-0.10953612031620702,-0.03814313924213682,0.19210844473789448,-0.2677951787645352,-0.013284628563820447,-0.013332379187473879,0.02764667509166749,-0.03457764801817573,0.22812201176638297,1.0616204531595563,0.05788816296444565,0.0
0000016099-18-000020,-0.04962982627513585,-0.05158202693542898,-0.19018215479680117,-0.06534113383077428,-0.7978744014608059,0.1284943269399217,-0.013284638985377985,-0.013332391129591847,0.02737303550445894,-0.8717655006318522,-0.1415060816878998,0.43851198509364653,0.551343489776331,0.0
0000016868-18-000005,-0.0496286856461653,-0.031036344337793557,-0.19147319562500542,-0.06670955524772897,0.36413825079865225,-0.013383391649533782,-0.01328463456703542,-0.01333238692193407,0.027268717634155306,-0.03738491665790342,-0.2253442359924914,-0.3059054582793783,-0.022113978226579498,0.0
